direction,entry_price,entry_time_jst,event_id,risk_units,sl_price,spec_version,tp_price,trade_id
LONG,10.62,2026-09-25T06:54:31.192000+09:00,511_202609250650_AVAX_USDT_LONG,1,10.566899999999999,1.0,10.673099999999998,511_202609250650_AVAX_USDT_LONG_B1_REFERENCE
SHORT,100.04,2026-09-25T06:54:09.392000+09:00,511_202609250650_UKOIL_USDT_SHORT,1,100.5402,1.0,99.5398,511_202609250650_UKOIL_USDT_SHORT_B1_REFERENCE
SHORT,92.352,2026-09-25T07:03:55.277000+09:00,511_202609250700_HYPE_USDT_SHORT,1,92.81375999999999,1.0,91.89024,511_202609250700_HYPE_USDT_SHORT_B1_REFERENCE
SHORT,9.163,2026-09-25T07:04:05.868000+09:00,511_202609250700_UNI_USDT_SHORT,1,9.208815,1.0,9.117185000000001,511_202609250700_UNI_USDT_SHORT_B1_REFERENCE
SHORT,94.38,2026-09-25T07:03:57.914000+09:00,511_202609250700_USOIL_USDT_SHORT,1,94.85189999999999,1.0,93.90809999999999,511_202609250700_USOIL_USDT_SHORT_B1_REFERENCE
SHORT,0.09513,2026-09-25T07:23:45.700000+09:00,511_202609250720_DOGE_USDT_SHORT,1,0.09560565,1.0,0.09465435000000001,511_202609250720_DOGE_USDT_SHORT_B1_REFERENCE
SHORT,9.117,2026-09-25T07:23:59.659000+09:00,511_202609250720_UNI_USDT_SHORT,1,9.162585,1.0,9.071415,511_202609250720_UNI_USDT_SHORT_B1_REFERENCE
SHORT,10.13,2026-09-25T08:15:34.166000+09:00,511_202609250815_AVAX_USDT_SHORT,1,10.18065,1.0,10.079350000000002,511_202609250815_AVAX_USDT_SHORT_B1_REFERENCE
SHORT,0.09561,2026-09-25T08:15:21.025000+09:00,511_202609250815_DOGE_USDT_SHORT,1,0.09608805,1.0,0.09513195,511_202609250815_DOGE_USDT_SHORT_B1_REFERENCE
SHORT,116.58,2026-09-25T08:15:13.916000+09:00,511_202609250815_SOL_USDT_SHORT,1,117.16289999999998,1.0,115.9971,511_202609250815_SOL_USDT_SHORT_B1_REFERENCE
SHORT,7691.9,2026-09-25T08:15:28.030000+09:00,511_202609250815_SPX500_USDT_SHORT,1,7730.359499999999,1.0,7653.4405,511_202609250815_SPX500_USDT_SHORT_B1_REFERENCE
SHORT,0.21728,2026-09-25T08:23:53.047000+09:00,511_202609250820_ARB_USDT_SHORT,1,0.2183664,1.0,0.2161936,511_202609250820_ARB_USDT_SHORT_B1_REFERENCE
SHORT,4.594,2026-09-25T08:23:37.358000+09:00,511_202609250820_NEAR_USDT_SHORT,1,4.61697,1.0,4.57103,511_202609250820_NEAR_USDT_SHORT_B1_REFERENCE
SHORT,8.035,2026-09-25T08:44:02.852000+09:00,511_202609250840_INJ_USDT_SHORT,1,8.075175,1.0,7.9948250000000005,511_202609250840_INJ_USDT_SHORT_B1_REFERENCE
SHORT,4.4186e-06,2026-09-25T08:43:46.959000+09:00,511_202609250840_PEPE_USDT_SHORT,1,4.440693e-06,1.0,4.396507e-06,511_202609250840_PEPE_USDT_SHORT_B1_REFERENCE
SHORT,0.21682,2026-09-25T08:52:41.665000+09:00,511_202609250850_ARB_USDT_SHORT,1,0.2179041,1.0,0.2157359,511_202609250850_ARB_USDT_SHORT_B1_REFERENCE
SHORT,4.608,2026-09-25T08:52:25.168000+09:00,511_202609250850_NEAR_USDT_SHORT,1,4.63104,1.0,4.58496,511_202609250850_NEAR_USDT_SHORT_B1_REFERENCE
LONG,71.94,2026-09-25T09:04:07.149000+09:00,511_202609250900_LTC_USDT_LONG,1,71.5803,1.0,72.29969999999999,511_202609250900_LTC_USDT_LONG_B1_REFERENCE
SHORT,766.74,2026-09-25T09:04:22.389000+09:00,511_202609250900_SPY_USDT_SHORT,1,770.5736999999999,1.0,762.9063,511_202609250900_SPY_USDT_SHORT_B1_REFERENCE
LONG,0.2497,2026-09-25T09:13:49.159000+09:00,511_202609250910_ADA_USDT_LONG,1,0.2484515,1.0,0.25094849999999996,511_202609250910_ADA_USDT_LONG_B1_REFERENCE
LONG,13.325,2026-09-25T09:13:47.092000+09:00,511_202609250910_LINK_USDT_LONG,1,13.258375,1.0,13.391624999999998,511_202609250910_LINK_USDT_LONG_B1_REFERENCE
LONG,0.5254,2026-09-25T09:13:40.024000+09:00,511_202609250910_ONDO_USDT_LONG,1,0.5227729999999999,1.0,0.5280269999999999,511_202609250910_ONDO_USDT_LONG_B1_REFERENCE
LONG,117.45,2026-09-25T09:13:31.819000+09:00,511_202609250910_SOL_USDT_LONG,1,116.86275,1.0,118.03724999999999,511_202609250910_SOL_USDT_LONG_B1_REFERENCE
LONG,1.0225,2026-09-25T09:13:37.090000+09:00,511_202609250910_SUI_USDT_LONG,1,1.0173875,1.0,1.0276124999999998,511_202609250910_SUI_USDT_LONG_B1_REFERENCE
SHORT,93.87,2026-09-25T09:13:46.070000+09:00,511_202609250910_USOIL_USDT_SHORT,1,94.33935,1.0,93.40065,511_202609250910_USOIL_USDT_SHORT_B1_REFERENCE
LONG,1.5433,2026-09-25T09:13:30.808000+09:00,511_202609250910_XRP_USDT_LONG,1,1.5355835,1.0,1.5510164999999998,511_202609250910_XRP_USDT_LONG_B1_REFERENCE
SHORT,10.248,2026-09-25T09:23:43.853000+09:00,511_202609250920_AVAX_USDT_SHORT,1,10.299239999999998,1.0,10.19676,511_202609250920_AVAX_USDT_SHORT_B1_REFERENCE
SHORT,8.025,2026-09-25T09:23:47.064000+09:00,511_202609250920_INJ_USDT_SHORT,1,8.065125,1.0,7.984875000000001,511_202609250920_INJ_USDT_SHORT_B1_REFERENCE
LONG,297.96,2026-09-25T09:23:33.263000+09:00,511_202609250920_TAO_USDT_LONG,1,296.4702,1.0,299.4497999999999,511_202609250920_TAO_USDT_LONG_B1_REFERENCE
SHORT,71.2,2026-09-25T09:33:56.442000+09:00,511_202609250930_LTC_USDT_SHORT,1,71.556,1.0,70.84400000000001,511_202609250930_LTC_USDT_SHORT_B1_REFERENCE
